,icpsr,id,name,state_abbrev,V1,party_code,rollcallvote_id,chamber,congress,date,rollnumber,description
32,49308,MS11449308,"MURRAY, Patty",WA,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
33,29345,MS11429345,"CRAPO, Michael Dean",ID,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
34,15011,MS11415011,"BOXER, Barbara",CA,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
35,14503,MS11414503,"HATCH, Orrin Grant",UT,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
36,15021,MS11415021,"DURBIN, Richard Joseph",IL,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
37,21166,MS11421166,"LANKFORD, James",OK,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
38,20146,MS11420146,"CAPITO, Shelley Moore",WV,6,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
39,21173,MS11421173,"SCOTT, Tim",SC,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
40,14009,MS11414009,"COCHRAN, William Thad",MS,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
41,29373,MS11429373,"MENENDEZ, Robert",NJ,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
42,15039,MS11415039,"McCAIN, John Sidney, III",AZ,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
43,29386,MS11429386,"PORTMAN, Robert Jones (Rob)",OH,6,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
44,29389,MS11429389,"BROWN, Sherrod",OH,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
45,15054,MS11415054,"REID, Harry",NV,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
46,29909,MS11429909,"ISAKSON, Johnny",GA,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
47,29732,MS11429732,"STABENOW, Deborah Ann",MI,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
48,29918,MS11429918,"VITTER, David",LA,6,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
49,20707,MS11420707,"MURPHY, Christopher",CT,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
50,29924,MS11429924,"UDALL, Thomas (Tom)",NM,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
51,20713,MS11420713,"HIRONO, Mazie",HI,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
52,49703,MS11449703,"COLLINS, Susan Margaret",ME,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
53,20717,MS11420717,"DONNELLY, Joe",IN,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
54,29935,MS11429935,"TOOMEY, Patrick Joseph",PA,6,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
55,29940,MS11429940,"BALDWIN, Tammy",WI,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
56,20730,MS11420730,"HELLER, Dean",NV,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
57,40700,MS11440700,"KLOBUCHAR, Amy",MN,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
58,40701,MS11440701,"McCASKILL, Claire",MO,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
59,40702,MS11440702,"TESTER, Jon",MT,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
60,20735,MS11420735,"GILLIBRAND, Kirsten",NY,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
61,40704,MS11440704,"WHITEHOUSE, Sheldon",RI,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
62,40705,MS11440705,"CORKER, Robert (Bob)",TN,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
63,40707,MS11440707,"BARRASSO, John A.",WY,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
64,14806,MS11414806,"COATS, Daniel Ray",IN,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
65,21301,MS11421301,"COTTON, Tom",AR,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
66,14651,MS11414651,"NELSON, Clarence William (Bill)",FL,9,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
67,41300,MS11441300,"KING, Angus Stanley, Jr.",ME,1,328,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
68,41301,MS11441301,"WARREN, Elizabeth",MA,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
69,41302,MS11441302,"FISCHER, Debra (Deb)",NE,6,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
70,41303,MS11441303,"HEITKAMP, Mary Kathryn (Heidi)",ND,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
71,41304,MS11441304,"CRUZ, Rafael Edward (Ted)",TX,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
72,41305,MS11441305,"KAINE, Timothy Michael (Tim)",VA,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
73,21338,MS11421338,"DAINES, Steve",MT,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
74,41308,MS11441308,"BOOKER, Cory Anthony",NJ,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
75,29534,MS11429534,"WICKER, Roger F.",MS,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
76,40300,MS11440300,"MURKOWSKI, Lisa",AK,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
77,40304,MS11440304,"ALEXANDER, Lamar",TN,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
78,40305,MS11440305,"CORNYN, John",TX,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
79,20115,MS11420115,"KIRK, Mark Steven",IL,6,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
80,29566,MS11429566,"GRAHAM, Lindsey O.",SC,9,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
81,39310,MS11439310,"CANTWELL, Maria E.",WA,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
82,14226,MS11414226,"GRASSLEY, Charles Ernest",IA,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
