,icpsr,id,name,state_abbrev,V1,party_code,rollcallvote_id,chamber,congress,date,rollnumber,description
0,14852,MS11414852,"ROBERTS, Charles Patrick (Pat)",KS,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
1,14858,MS11414858,"SCHUMER, Charles Ellis (Chuck)",NY,1,100,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
2,14871,MS11414871,"WYDEN, Ronald Lee",OR,1,100,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
3,29722,MS11429722,"MORAN, Jerry",KS,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
4,41500,MS11441500,"SULLIVAN, Daniel Scott",AK,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
5,41501,MS11441501,"PERDUE, David Alfred, Jr.",GA,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
6,41502,MS11441502,"ERNST, Joni",IA,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
7,41503,MS11441503,"SASSE, Benjamin Eric",NE,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
8,41504,MS11441504,"TILLIS, Thomas Roland (Thom)",NC,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
9,41505,MS11441505,"ROUNDS, Marion Michael (Mike)",SD,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
10,49700,MS11449700,"SESSIONS, Jefferson Beauregard III (Jeff)",AL,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
11,29735,MS11429735,"BLUNT, Roy",MO,6,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
12,49706,MS11449706,"ENZI, Michael B.",WY,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
13,15408,MS11415408,"CARDIN, Benjamin Louis",MD,1,100,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
14,29754,MS11429754,"THUNE, John",SD,1,200,RS1140023,Senate,114,2015-01-22,23,A bill to approve the Keystone XL Pipeline.
