,icpsr,id,name,state_abbrev,V1,party_code,rollcallvote_id,chamber,congress,date,rollnumber,description
0,14852,MS11414852,"ROBERTS, Charles Patrick (Pat)",KS,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
1,14858,MS11414858,"SCHUMER, Charles Ellis (Chuck)",NY,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
2,14871,MS11414871,"WYDEN, Ronald Lee",OR,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
3,29722,MS11429722,"MORAN, Jerry",KS,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
4,41500,MS11441500,"SULLIVAN, Daniel Scott",AK,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
5,41501,MS11441501,"PERDUE, David Alfred, Jr.",GA,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
6,41502,MS11441502,"ERNST, Joni",IA,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
7,41503,MS11441503,"SASSE, Benjamin Eric",NE,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
8,41504,MS11441504,"TILLIS, Thomas Roland (Thom)",NC,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
9,41505,MS11441505,"ROUNDS, Marion Michael (Mike)",SD,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
10,49700,MS11449700,"SESSIONS, Jefferson Beauregard III (Jeff)",AL,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
11,29735,MS11429735,"BLUNT, Roy",MO,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
12,49706,MS11449706,"ENZI, Michael B.",WY,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
13,15408,MS11415408,"CARDIN, Benjamin Louis",MD,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
14,29754,MS11429754,"THUNE, John",SD,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
15,15424,MS11415424,"INHOFE, James Mountain",OK,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
16,14921,MS11414921,"McCONNELL, Addison Mitchell (Mitch)",KY,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
17,14435,MS11414435,"MARKEY, Edward John",MA,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
18,14440,MS11414440,"MIKULSKI, Barbara Ann",MD,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
19,21112,MS11421112,"GARDNER, Cory",CO,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
20,20100,MS11420100,"FLAKE, Jeff",AZ,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
21,20101,MS11420101,"BOOZMAN, John",AR,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
22,29548,MS11429548,"BURR, Richard M.",NC,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
23,41101,MS11441101,"BLUMENTHAL, Richard",CT,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
24,41102,MS11441102,"RUBIO, Marco",FL,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
25,41104,MS11441104,"PAUL, Rand",KY,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
26,41106,MS11441106,"AYOTTE, Kelly",NH,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
27,41107,MS11441107,"HOEVEN, John",ND,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
28,49300,MS11449300,"FEINSTEIN, Dianne",CA,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
29,41110,MS11441110,"LEE, Mike",UT,9,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
30,41111,MS11441111,"JOHNSON, Ron",WI,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
31,41112,MS11441112,"SCHATZ, Brian Emanuel",HI,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
32,49308,MS11449308,"MURRAY, Patty",WA,6,100,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
33,29345,MS11429345,"CRAPO, Michael Dean",ID,1,200,RS1140024,Senate,114,2015-01-22,24,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.
