,icpsr,id,name,state_abbrev,V1,party_code,rollcallvote_id,chamber,congress,date,rollnumber,description
0,14852,MS11414852,"ROBERTS, Charles Patrick (Pat)",KS,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
1,14858,MS11414858,"SCHUMER, Charles Ellis (Chuck)",NY,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
2,14871,MS11414871,"WYDEN, Ronald Lee",OR,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
3,29722,MS11429722,"MORAN, Jerry",KS,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
4,41500,MS11441500,"SULLIVAN, Daniel Scott",AK,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
5,41501,MS11441501,"PERDUE, David Alfred, Jr.",GA,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
6,41502,MS11441502,"ERNST, Joni",IA,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
7,41503,MS11441503,"SASSE, Benjamin Eric",NE,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
8,41504,MS11441504,"TILLIS, Thomas Roland (Thom)",NC,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
9,41505,MS11441505,"ROUNDS, Marion Michael (Mike)",SD,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
10,49700,MS11449700,"SESSIONS, Jefferson Beauregard III (Jeff)",AL,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
11,29735,MS11429735,"BLUNT, Roy",MO,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
12,49706,MS11449706,"ENZI, Michael B.",WY,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
13,15408,MS11415408,"CARDIN, Benjamin Louis",MD,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
14,29754,MS11429754,"THUNE, John",SD,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
15,15424,MS11415424,"INHOFE, James Mountain",OK,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
16,14921,MS11414921,"McCONNELL, Addison Mitchell (Mitch)",KY,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
17,14435,MS11414435,"MARKEY, Edward John",MA,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
18,14440,MS11414440,"MIKULSKI, Barbara Ann",MD,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
19,21112,MS11421112,"GARDNER, Cory",CO,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
20,20100,MS11420100,"FLAKE, Jeff",AZ,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
21,20101,MS11420101,"BOOZMAN, John",AR,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
22,29548,MS11429548,"BURR, Richard M.",NC,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
23,41101,MS11441101,"BLUMENTHAL, Richard",CT,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
24,41102,MS11441102,"RUBIO, Marco",FL,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
25,41104,MS11441104,"PAUL, Rand",KY,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
26,41106,MS11441106,"AYOTTE, Kelly",NH,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
27,41107,MS11441107,"HOEVEN, John",ND,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
28,49300,MS11449300,"FEINSTEIN, Dianne",CA,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
29,41110,MS11441110,"LEE, Mike",UT,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
30,41111,MS11441111,"JOHNSON, Ron",WI,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
31,41112,MS11441112,"SCHATZ, Brian Emanuel",HI,1,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
32,49308,MS11449308,"MURRAY, Patty",WA,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
33,29345,MS11429345,"CRAPO, Michael Dean",ID,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
34,15011,MS11415011,"BOXER, Barbara",CA,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
35,14503,MS11414503,"HATCH, Orrin Grant",UT,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
36,15021,MS11415021,"DURBIN, Richard Joseph",IL,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
37,21166,MS11421166,"LANKFORD, James",OK,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
38,20146,MS11420146,"CAPITO, Shelley Moore",WV,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
39,21173,MS11421173,"SCOTT, Tim",SC,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
40,14009,MS11414009,"COCHRAN, William Thad",MS,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
41,29373,MS11429373,"MENENDEZ, Robert",NJ,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
42,15039,MS11415039,"McCAIN, John Sidney, III",AZ,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
43,29386,MS11429386,"PORTMAN, Robert Jones (Rob)",OH,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
44,29389,MS11429389,"BROWN, Sherrod",OH,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
45,15054,MS11415054,"REID, Harry",NV,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
46,29909,MS11429909,"ISAKSON, Johnny",GA,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
47,29732,MS11429732,"STABENOW, Deborah Ann",MI,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
48,29918,MS11429918,"VITTER, David",LA,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
49,20707,MS11420707,"MURPHY, Christopher",CT,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
50,29924,MS11429924,"UDALL, Thomas (Tom)",NM,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
51,20713,MS11420713,"HIRONO, Mazie",HI,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
52,49703,MS11449703,"COLLINS, Susan Margaret",ME,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
53,20717,MS11420717,"DONNELLY, Joe",IN,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
54,29935,MS11429935,"TOOMEY, Patrick Joseph",PA,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
55,29940,MS11429940,"BALDWIN, Tammy",WI,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
56,20730,MS11420730,"HELLER, Dean",NV,1,200,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
57,40700,MS11440700,"KLOBUCHAR, Amy",MN,6,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
58,40701,MS11440701,"McCASKILL, Claire",MO,1,100,RS1140112,Senate,114,2015-03-26,112,To improve the dynamic scoring provision.
