,icpsr,id,name,state_abbrev,V1,party_code,rollcallvote_id,chamber,congress,date,rollnumber,description
0,14852,MS11414852,"ROBERTS, Charles Patrick (Pat)",KS,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
1,14858,MS11414858,"SCHUMER, Charles Ellis (Chuck)",NY,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
2,14871,MS11414871,"WYDEN, Ronald Lee",OR,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
3,29722,MS11429722,"MORAN, Jerry",KS,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
4,41500,MS11441500,"SULLIVAN, Daniel Scott",AK,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
5,41501,MS11441501,"PERDUE, David Alfred, Jr.",GA,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
6,41502,MS11441502,"ERNST, Joni",IA,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
7,41503,MS11441503,"SASSE, Benjamin Eric",NE,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
8,41504,MS11441504,"TILLIS, Thomas Roland (Thom)",NC,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
9,41505,MS11441505,"ROUNDS, Marion Michael (Mike)",SD,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
10,49700,MS11449700,"SESSIONS, Jefferson Beauregard III (Jeff)",AL,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
11,29735,MS11429735,"BLUNT, Roy",MO,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
12,49706,MS11449706,"ENZI, Michael B.",WY,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
13,15408,MS11415408,"CARDIN, Benjamin Louis",MD,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
14,29754,MS11429754,"THUNE, John",SD,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
15,15424,MS11415424,"INHOFE, James Mountain",OK,9,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
16,14921,MS11414921,"McCONNELL, Addison Mitchell (Mitch)",KY,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
17,14435,MS11414435,"MARKEY, Edward John",MA,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
18,14440,MS11414440,"MIKULSKI, Barbara Ann",MD,9,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
19,21112,MS11421112,"GARDNER, Cory",CO,9,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
20,20100,MS11420100,"FLAKE, Jeff",AZ,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
21,20101,MS11420101,"BOOZMAN, John",AR,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
22,29548,MS11429548,"BURR, Richard M.",NC,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
23,41101,MS11441101,"BLUMENTHAL, Richard",CT,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
24,41102,MS11441102,"RUBIO, Marco",FL,9,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
25,41104,MS11441104,"PAUL, Rand",KY,9,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
26,41106,MS11441106,"AYOTTE, Kelly",NH,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
27,41107,MS11441107,"HOEVEN, John",ND,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
28,49300,MS11449300,"FEINSTEIN, Dianne",CA,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
29,41110,MS11441110,"LEE, Mike",UT,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
30,41111,MS11441111,"JOHNSON, Ron",WI,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
31,41112,MS11441112,"SCHATZ, Brian Emanuel",HI,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
32,49308,MS11449308,"MURRAY, Patty",WA,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
33,29345,MS11429345,"CRAPO, Michael Dean",ID,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
34,15011,MS11415011,"BOXER, Barbara",CA,9,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
35,14503,MS11414503,"HATCH, Orrin Grant",UT,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
36,15021,MS11415021,"DURBIN, Richard Joseph",IL,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
37,21166,MS11421166,"LANKFORD, James",OK,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
38,20146,MS11420146,"CAPITO, Shelley Moore",WV,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
39,21173,MS11421173,"SCOTT, Tim",SC,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
40,14009,MS11414009,"COCHRAN, William Thad",MS,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
41,29373,MS11429373,"MENENDEZ, Robert",NJ,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
42,15039,MS11415039,"McCAIN, John Sidney, III",AZ,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
43,29386,MS11429386,"PORTMAN, Robert Jones (Rob)",OH,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
44,29389,MS11429389,"BROWN, Sherrod",OH,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
45,15054,MS11415054,"REID, Harry",NV,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
46,29909,MS11429909,"ISAKSON, Johnny",GA,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
47,29732,MS11429732,"STABENOW, Deborah Ann",MI,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
48,29918,MS11429918,"VITTER, David",LA,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
49,20707,MS11420707,"MURPHY, Christopher",CT,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
50,29924,MS11429924,"UDALL, Thomas (Tom)",NM,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
51,20713,MS11420713,"HIRONO, Mazie",HI,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
52,49703,MS11449703,"COLLINS, Susan Margaret",ME,1,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
53,20717,MS11420717,"DONNELLY, Joe",IN,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
54,29935,MS11429935,"TOOMEY, Patrick Joseph",PA,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
55,29940,MS11429940,"BALDWIN, Tammy",WI,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
56,20730,MS11420730,"HELLER, Dean",NV,6,200,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
57,40700,MS11440700,"KLOBUCHAR, Amy",MN,1,100,RS1140347,Senate,114,2016-01-28,347,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.
