,icpsr,id,name,state_abbrev,V1,party_code,rollcallvote_id,chamber,congress,date,rollnumber,description
0,14852,MS11414852,"ROBERTS, Charles Patrick (Pat)",KS,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
1,14858,MS11414858,"SCHUMER, Charles Ellis (Chuck)",NY,1,100,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
2,14871,MS11414871,"WYDEN, Ronald Lee",OR,1,100,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
3,29722,MS11429722,"MORAN, Jerry",KS,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
4,41500,MS11441500,"SULLIVAN, Daniel Scott",AK,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
5,41501,MS11441501,"PERDUE, David Alfred, Jr.",GA,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
6,41502,MS11441502,"ERNST, Joni",IA,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
7,41503,MS11441503,"SASSE, Benjamin Eric",NE,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
8,41504,MS11441504,"TILLIS, Thomas Roland (Thom)",NC,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
9,41505,MS11441505,"ROUNDS, Marion Michael (Mike)",SD,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
10,49700,MS11449700,"SESSIONS, Jefferson Beauregard III (Jeff)",AL,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
11,29735,MS11429735,"BLUNT, Roy",MO,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
12,49706,MS11449706,"ENZI, Michael B.",WY,6,200,RS1140101,Senate,114,2015-03-26,101,"To provide additional resources to save student financial aid and keep college affordable for more than 8,000,000 low- and middle-income students by restoring the $89,000,000,000 in cuts to Federal Pell Grants in the Republican budget."
